 Omnivariance, Eigenentropy, Anisotropy, Linearity, Surface Variation, Class
0.2114,0.9404,-3.187,-2.068,0.5072,1
0.1869,0.888,-4.273,-1.593,0.5947,1
0.127,0.7269,-7.343,-0.5927,0.7629,1
0.1362,0.7634,-6.14,-0.7189,0.7242,1
0.1489,0.7722,-5.084,-0.1989,0.7345,1
0.156,0.7841,-4.691,-0.1286,0.7278,1
0.1525,0.7593,-6.306,-0.4314,0.7503,1
0.1604,0.7559,-6.536,-0.4342,0.7559,1
0.1613,0.743,-6.452,-0.2646,0.7669,1
0.1831,0.7476,-6.321,-0.3058,0.7605,1
0.1799,0.6948,-7.706,-0.3389,0.7882,1
0.2012,0.6544,-7.902,-0.3257,0.7929,1
0.2055,0.5967,-8.439,-0.2372,0.8084,1
0.195,0.5345,-10.98,-0.4741,0.8289,1
0.2116,0.4409,-11.61,-0.4525,0.8372,1
0.2221,0.237,-13.64,-0.3763,0.8604,1
0.1382,0.8122,-3.078,-0.9499,0.5803,1
0.1656,0.8565,-4.039,-1.178,0.6132,1
0.1293,0.7855,-3.602,-0.8672,0.6161,1
0.1254,0.7457,-5.711,-0.5162,0.7273,1
0.1544,0.8404,-4.005,-1.25,0.6063,1
0.1277,0.7831,-3.512,-0.9286,0.6064,1
0.1216,0.7675,-4.103,-1.178,0.6162,1
0.1304,0.7924,-3.95,-1.333,0.5976,1
0.1419,0.8204,-3.31,-1.063,0.5845,1
0.1585,0.8442,-4.237,-1.267,0.6158,1
0.1612,0.8581,-3.604,-1.261,0.5854,1
0.1619,0.858,-3.496,-1.11,0.5911,1
0.1652,0.8607,-3.783,-1.203,0.5989,1
0.1671,0.862,-3.683,-1.054,0.6053,1
0.1435,0.8225,-3.166,-0.8811,0.5912,1
0.1662,0.8619,-3.779,-1.182,0.6003,1
0.1601,0.853,-3.803,-1.246,0.5967,1
0.1211,0.766,-3.912,-1.086,0.6142,1
0.1299,0.7883,-3.231,-0.7686,0.6045,1
0.1676,0.8623,-3.906,-1.203,0.605,1
0.1513,0.8299,-4.081,-1.057,0.6243,1
0.1667,0.8604,-4.043,-1.285,0.6056,1
0.1313,0.7947,-4.133,-1.433,0.5992,1
0.1614,0.8469,-3.991,-1.012,0.6236,1
0.1598,0.8475,-3.989,-1.144,0.6135,1
0.1444,0.8256,-3.296,-1.042,0.5855,1
0.1265,0.7527,-5.081,-0.4166,0.7156,1
0.1388,0.8134,-3.158,-0.9718,0.5832,1
0.1634,0.8539,-4.015,-1.195,0.6108,1
0.1297,0.7866,-3.392,-0.7738,0.6129,1
0.1507,0.8296,-3.838,-0.9407,0.622,1
0.155,0.8422,-4.25,-1.468,0.6022,1
0.1629,0.8542,-3.944,-1.188,0.608,1
0.1316,0.7915,-3.567,-0.8766,0.6136,1
0.13,0.7879,-3.48,-0.8566,0.6106,1
0.1508,0.8262,-4.41,-1.141,0.6327,1
0.1323,0.7929,-3.093,-0.6173,0.61,1
0.1567,0.8403,-4.035,-1.081,0.6204,1
