 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Class
1.44,1.31,1.834,0.5138,0.1444,0.8256,-3.296,1
1.446,1.09,2.399,0.5244,0.1265,0.7527,-5.081,1
1.605,1.22,1.942,0.4908,0.1388,0.8134,-3.158,1
1.651,1.22,2.388,0.603,0.1634,0.8539,-4.015,1
1.946,1.12,1.339,0.4688,0.1297,0.7866,-3.392,1
2.409,1.12,1.494,0.5557,0.1507,0.8296,-3.838,1
2.402,1.09,1.945,0.5754,0.155,0.8422,-4.25,1
2.525,1.21,1.684,0.5991,0.1629,0.8542,-3.944,1
1.571,1.08,1.605,0.4787,0.1316,0.7915,-3.567,1
1.862,1.09,1.595,0.4706,0.13,0.7879,-3.48,1
2.431,1.1,1.623,0.5699,0.1508,0.8262,-4.41,1
1.597,1.1,1.49,0.4727,0.1323,0.7929,-3.093,1
2.168,1.1,1.674,0.5811,0.1567,0.8403,-4.035,1
1.476,1.09,1.906,0.4805,0.133,0.7986,-3.611,1
1.662,1.22,2.236,0.6173,0.1673,0.8597,-4.014,1
1.521,1.08,1.611,0.4683,0.1294,0.786,-3.41,1
1.935,1.08,1.642,0.4617,0.126,0.7793,-3.837,1
1.779,1.2,1.362,0.5005,0.1414,0.8191,-3.181,1
1.814,1.08,1.383,0.4932,0.1337,0.799,-4.071,1
1.944,1.1,1.692,0.4741,0.1314,0.7937,-3.524,1
1.583,1.08,1.86,0.4652,0.1279,0.7825,-3.581,1
2.417,1.22,1.758,0.6164,0.1654,0.8549,-4.242,1
2.398,1.23,1.649,0.5847,0.1633,0.8614,-3.439,1
1.892,1.24,2.16,0.6067,0.1677,0.8654,-3.611,1
1.402,1.1,2.455,0.5053,0.123,0.7471,-4.749,1
1.969,1.09,1.602,0.4681,0.1292,0.7861,-3.502,1
1.646,1.22,2.333,0.5761,0.1601,0.8558,-3.562,1
2.496,1.23,1.779,0.6116,0.1663,0.8588,-3.929,1
1.967,1.21,1.973,0.6141,0.1667,0.86,-4.002,1
1.813,1.1,1.598,0.4825,0.1336,0.7955,-3.334,1
