 Length, Height, Width, Linearity, Verticality, Class
2.289,1.1,1.572,-1.057,0.9046,1
1.649,1.22,2.464,-1.285,0.9054,1
1.453,1.09,1.761,-1.433,0.9591,1
1.594,1.09,2.539,-1.012,0.894,1
2.393,1.18,1.7,-1.144,0.8977,1
1.44,1.31,1.834,-1.042,0.8929,1
1.446,1.09,2.399,-0.4166,0.9446,1
1.605,1.22,1.942,-0.9718,0.9031,1
1.651,1.22,2.388,-1.195,0.8963,1
1.946,1.12,1.339,-0.7738,0.9082,1
2.409,1.12,1.494,-0.9407,0.8867,1
2.402,1.09,1.945,-1.468,0.9204,1
2.525,1.21,1.684,-1.188,0.9271,1
1.571,1.08,1.605,-0.8766,0.9231,1
1.862,1.09,1.595,-0.8566,0.9378,1
2.431,1.1,1.623,-1.141,0.9235,1
1.597,1.1,1.49,-0.6173,0.9125,1
2.168,1.1,1.674,-1.081,0.916,1
1.476,1.09,1.906,-1.153,0.9153,1
1.662,1.22,2.236,-1.194,0.9025,1
1.521,1.08,1.611,-0.7783,0.9233,1
1.935,1.08,1.642,-1.11,0.9508,1
1.779,1.2,1.362,-0.9788,0.9425,1
1.814,1.08,1.383,-1.317,0.936,1
1.944,1.1,1.692,-1.027,0.9031,1
1.583,1.08,1.86,-0.8881,0.9558,1
2.417,1.22,1.758,-1.281,0.8844,1
2.398,1.23,1.649,-1.114,0.919,1
1.892,1.24,2.16,-1.101,0.893,1
1.402,1.1,2.455,-0.3158,0.9617,1
1.969,1.09,1.602,-0.8728,0.9295,1
1.646,1.22,2.333,-1.206,0.9022,1
2.496,1.23,1.779,-1.152,0.8703,1
1.967,1.21,1.973,-1.233,0.8818,1
1.813,1.1,1.598,-0.714,0.911,1
1.696,1.22,2.432,-1.165,0.9077,1
2.507,1.21,1.743,-1.19,0.9046,1
1.899,1.09,1.832,-1.301,0.9418,1
1.352,1.09,2.428,-0.5122,0.9681,1
0.9117,0.91,1.791,-0.5905,0.7898,1
1.045,0.9,1.652,-1.009,0.7318,1
1.645,1.22,1.921,-0.972,0.6962,1
1.646,1.1,2.084,-0.4591,0.9121,1
1.926,1.09,1.919,-1.14,0.9111,1
1.731,1.31,2.031,-1.012,0.8587,1
2.108,1.22,1.843,-1.11,0.9338,1
1.874,1.21,1.519,-0.9703,0.9475,1
1.685,1.22,2.469,-1.318,0.8959,1
2.202,1.08,1.621,-1.161,0.8981,1
1.833,1.09,2.512,-1.439,0.9224,1
1.574,1.22,2.537,-0.9998,0.9263,1
1.528,1.09,1.6,-0.7826,0.915,1
1.739,1.1,2.487,-1.289,0.8861,1
1.89,1.09,1.246,-1.284,0.9233,1
1.842,1.09,1.832,-1.42,0.9429,1
2.473,1.21,1.675,-1.245,0.9247,1
2.496,1.21,1.725,-1.143,0.9196,1
2.466,1.11,1.556,-0.9439,0.8858,1
2.457,1.22,1.718,-1.181,0.8937,1
1.985,1.1,1.784,-0.9715,0.9066,1
1.816,1.1,1.598,-0.641,0.9056,1
2.473,1.22,1.658,-1.075,0.9158,1
2.412,1.09,1.685,-1.091,0.9076,1
2.527,1.09,1.552,-1.001,0.9386,1
1.725,1.1,1.592,-0.7211,0.9275,1
1.674,1.09,1.828,-1.475,0.9396,1
1.937,1.21,1.597,-0.923,0.9008,1
1.502,1.21,1.855,-1.026,0.9324,1
2.469,1.24,1.679,-1.201,0.9027,1
2.318,1.21,1.704,-1.216,0.9154,1
1.614,1.11,2.53,-1.123,0.8866,1
1.91,1.09,1.598,-1.192,0.9385,1
2.112,1.24,1.907,-1.174,0.8873,1
1.863,1.08,1.322,-1.034,0.8987,1
1.858,1.08,1.604,-0.9168,0.9649,1
1.647,1.09,1.811,-1.196,0.955,1
1.736,1.22,1.772,-0.872,0.928,1
2.425,1.22,1.718,-1.122,0.9078,1
2.026,1.22,1.653,-1.011,0.9418,1
1.842,1.08,1.576,-0.793,0.9227,1
2.467,1.22,1.664,-1.225,0.9024,1
1.709,1.23,1.972,-0.8585,0.9112,1
1.695,1.22,2.505,-1.2,0.9223,1
1.375,1.09,1.884,-1.334,0.9348,1
1.81,1.22,2.281,-1.09,0.9176,1
2.505,1.22,1.715,-1.257,0.9123,1
1.682,1.22,2.528,-1.091,0.934,1
1.884,1.1,1.581,-0.7444,0.9078,1
1.707,1.1,1.607,-0.7412,0.9335,1
1.297,1.08,2.009,-0.6997,0.9113,1
2.522,1.22,1.743,-1.275,0.9142,1
2.196,1.09,1.571,-1.139,0.9184,1
1.974,1.09,1.463,-0.827,0.9375,1
1.859,1.09,1.947,-1.139,0.8825,1
1.493,1.08,1.955,-1.132,0.9285,1
2.533,1.22,1.645,-1.082,0.9048,1
2.325,1.09,1.886,-1.318,0.9137,1
1.687,1.09,1.613,-0.7011,0.9202,1
1.503,1.22,1.634,-0.7539,0.9043,1
1.728,1.08,1.26,-1.097,0.9499,1
2.258,1.1,1.638,-1.287,0.9079,1
2.548,1.23,1.759,-1.028,0.8884,1
1.69,1.23,2.11,-1.252,0.9102,1
1.791,1.08,1.737,-1.18,0.9345,1
1.765,1.09,1.242,-0.1162,0.9603,1
0.9236,0.91,1.791,-0.315,0.8559,1
2.065,0.92,1.349,-1.396,0.8589,1
0.8919,0.9,1.136,-7.263,0.9114,1
2.056,1.1,1.128,-0.7963,0.9539,1
1.572,1.09,1.977,-0.6719,0.8981,1
1.593,1.09,2.007,-0.7806,0.9183,1
1.592,1.09,1.787,-1.225,0.9365,1
1.834,1.08,1.609,-0.9511,0.9503,1
1.938,1.09,1.565,-0.7002,0.9467,1
1.58,1.08,1.665,-1.163,0.9573,1
2.488,1.23,1.706,-1.25,0.928,1
1.754,1.21,1.375,-0.8096,0.9135,1
1.74,1.1,2.442,-1.192,0.914,1
1.67,1.08,2.391,-0.5241,0.9545,1
1.793,1.23,2.075,-1.063,0.9025,1
1.364,1.09,1.877,-1.335,0.9171,1
2.407,1.12,1.62,-0.937,0.8712,1
1.628,1.22,1.503,-0.8614,0.9223,1
1.544,1.09,1.754,-1.384,0.9444,1
2.133,1.09,1.942,-1.619,0.9019,1
1.825,1.09,1.255,-0.6795,0.9452,1
1.688,1.22,2.286,-1.04,0.9199,1
2.427,1.09,1.883,-1.262,0.9125,1
1.871,1.1,1.572,-0.863,0.94,1
2.515,1.08,1.563,-1.172,0.8758,1
2.509,1.23,1.731,-1.172,0.9042,1
1.656,1.23,2.267,-1.144,0.9093,1
1.645,1.1,2.15,-1.113,0.9108,1
1.841,1.12,1.621,-0.6795,0.9267,1
1.827,1.09,1.864,-1.216,0.9347,1
1.809,1.09,1.644,-1.387,0.9431,1
1.817,1.09,1.631,-0.9244,0.9681,1
1.24,1.1,1.932,-0.6914,0.927,1
1.924,1.1,2.041,-0.4498,0.9431,1
1.192,1.08,1.89,-0.7923,0.9224,1
1.687,1.22,2.143,-1.142,0.8934,1
1.709,1.09,2.336,-0.4421,0.9328,1
1.655,1.21,1.777,-1.04,0.9426,1
1.24,1.1,1.774,-1.016,0.9267,1
1.574,0.96,1.544,-0.9793,0.9376,1
1.599,1.09,1.43,-0.1817,0.9761,1
2.467,1.1,1.706,-1.135,0.8931,1
1.74,1.22,1.637,-0.8029,0.8998,1
2.462,1.1,1.621,-1.077,0.9012,1
1.896,1.09,1.722,-1.131,0.94,1
2.425,1.09,1.674,-1.142,0.9091,1
1.242,1.08,1.92,-0.6817,0.9309,1
1.83,1.08,1.597,-0.8403,0.9404,1
1.861,1.09,2.159,-0.4559,0.9437,1
2.537,1.09,1.659,-1.181,0.9026,1
1.375,1.09,1.912,-1.364,0.9395,1
2.445,1.09,1.55,-0.9733,0.8867,1
1.996,1.08,1.548,-0.7907,0.922,1
2.477,1.21,1.65,-1.203,0.9068,1
1.982,1.09,1.555,-0.9929,0.9035,1
1.855,1.22,1.689,-0.705,0.913,1
1.788,1.22,1.322,-0.8737,0.9365,1
2.295,1.09,1.595,-1.013,0.8961,1
2.175,1.09,1.9,-1.393,0.9164,1
2.519,1.23,1.736,-1.098,0.8876,1
1.439,1.21,1.77,-0.9979,0.9504,1
1.846,1.1,1.701,-0.7555,0.9203,1
2.139,1.08,1.623,-1.239,0.9339,1
2.511,1.22,1.715,-1.275,0.91,1
