 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
2.484,1.22,1.696,0.6041,0.1667,0.8647,-3.688,-2.483,-1.205,0.5939,0.4353,0.9054,52.34,49.14,0.1893,0.2607,0.0166,0.8686,0.4096,0.2037,0.494,1.529,0.2509,2.119,0.002843,17.88,-0.004951,0
1.925,1.1,1.65,0.4544,0.1213,0.7664,-4.305,-3.066,-1.239,0.6209,0.3353,0.9101,51.06,47.57,0.1177,0.349,0.04536,0.5629,0.3605,0.1675,0.3636,1.18,0.2509,2.119,0.002843,17.88,-0.004951,0
1.957,1.08,1.55,0.4664,0.1286,0.7834,-3.453,-2.676,-0.7776,0.6159,0.3518,0.9163,52.65,48.58,0.0727,0.3,0.04743,0.5815,0.3343,0.167,0.3609,1.153,0.2509,2.119,0.002843,17.88,-0.004951,0
2.46,1.08,1.601,0.5739,0.1525,0.8302,-4.344,-3.193,-1.151,0.6291,0.4286,0.9164,48.61,40.07,0.4306,0.3313,0.06324,0.8415,0.3789,0.1689,0.4631,1.386,0.2509,2.119,0.002843,17.88,-0.004951,0
1.945,1.09,1.344,0.4722,0.1303,0.7887,-3.506,-2.637,-0.8684,0.611,0.3526,0.9419,51.58,48.97,0.0675,0.2577,0.04272,0.6015,0.265,0.1703,0.3456,0.9952,0.2509,2.119,0.002843,17.88,-0.004951,0
1.682,1.22,2.533,0.5982,0.1624,0.8535,-3.992,-2.763,-1.229,0.6072,0.436,0.9047,53.23,49.93,0.259,0.2891,0.003903,0.3978,0.895,0.1998,0.4975,1.905,0.2509,2.119,0.002843,17.88,-0.004951,0
1.317,1.1,1.961,0.4747,0.1304,0.7879,-3.535,-2.719,-0.8161,0.6169,0.3574,0.9353,48.85,43.18,0.2462,0.06342,0.05436,0.2576,0.6119,0.1713,0.3469,1.289,0.2509,2.119,0.002843,17.88,-0.004951,0
1.945,1.09,1.827,0.4868,0.1338,0.8003,-3.763,-2.548,-1.215,0.597,0.3517,0.9283,53.63,49.32,0.1355,0.3763,0.0326,0.5706,0.4377,0.1708,0.393,1.231,0.2509,2.119,0.002843,17.88,-0.004951,0
2.368,1.09,1.607,0.5971,0.1598,0.843,-4.167,-3.088,-1.079,0.6266,0.4466,0.9015,49,43.08,0.4636,0.3518,0.06185,0.8026,0.4004,0.1754,0.4595,1.361,0.2509,2.119,0.002843,17.88,-0.004951,0
2.487,1.21,1.639,0.6031,0.1631,0.854,-4.086,-2.814,-1.272,0.6085,0.4391,0.9296,52.74,48.34,0.4071,0.2717,0.008523,0.8684,0.3997,0.1962,0.4881,1.375,0.2509,2.119,0.002843,17.88,-0.004951,0
1.781,1.22,2.526,0.6169,0.1672,0.8595,-3.999,-2.822,-1.177,0.6114,0.4527,0.8954,52.39,51.09,0.2304,0.294,0.002843,0.4286,0.9055,0.2029,0.5123,1.918,0.2509,2.119,0.002843,17.88,-0.004951,0
1.879,1.09,2.254,0.599,0.1602,0.8437,-4.184,-3.092,-1.092,0.6264,0.4476,0.8972,53.57,50.01,0.3257,0.07127,0.05893,0.4956,0.7448,0.1753,0.4719,1.346,0.2509,2.119,0.002843,17.88,-0.004951,0
2.297,1.24,1.646,0.6029,0.1654,0.8606,-3.797,-2.599,-1.198,0.6,0.4372,0.8957,53,51.22,0.4845,0.3341,0.004151,0.7586,0.4302,0.2079,0.4656,1.705,0.2509,2.119,0.002843,17.88,-0.004951,0
1.769,1.1,1.63,0.4615,0.1247,0.7736,-3.915,-2.945,-0.9701,0.6233,0.3462,0.9112,52.62,52.05,0.1931,0.351,0.05374,0.4918,0.3836,0.1691,0.3482,1.173,0.2509,2.119,0.002843,17.88,-0.004951,0
2.045,1.22,1.882,0.6117,0.166,0.8575,-3.958,-2.82,-1.138,0.6124,0.4502,0.8974,50.52,46.98,0.4862,0.2301,0.0004562,0.6044,0.5721,0.2028,0.4597,1.288,0.2509,2.119,0.002843,17.88,-0.004951,0
1.727,1.09,1.591,0.462,0.1272,0.7824,-3.625,-2.612,-1.012,0.6056,0.3403,0.9412,49.53,42.44,0.2222,0.3514,0.0449,0.4659,0.3873,0.1671,0.3401,1.314,0.2509,2.119,0.002843,17.88,-0.004951,0
2.207,1.23,1.676,0.5855,0.1609,0.855,-3.787,-2.522,-1.266,0.5945,0.4208,0.9102,53.75,51.33,0.511,0.363,0.008269,0.6928,0.456,0.2024,0.4504,1.683,0.2509,2.119,0.002843,17.88,-0.004951,0
1.272,1.08,1.718,0.4626,0.1279,0.784,-3.52,-2.569,-0.9512,0.605,0.3418,0.9383,50.04,44.12,0.2301,0.2242,0.04856,0.2775,0.498,0.1653,0.3136,1.157,0.2509,2.119,0.002843,17.88,-0.004951,0
1.807,1.09,1.811,0.4835,0.131,0.7924,-4.059,-2.777,-1.281,0.6066,0.3512,0.9345,51.27,47.91,0.1754,0.3868,0.03662,0.4983,0.4616,0.1679,0.3759,1.197,0.2509,2.119,0.002843,17.88,-0.004951,0
2.511,1.23,1.694,0.607,0.1657,0.8606,-3.915,-2.651,-1.264,0.6009,0.439,0.9122,52.13,49.19,0.262,0.2548,0.003773,0.8878,0.406,0.2035,0.4991,1.483,0.2509,2.119,0.002843,17.88,-0.004951,0
