 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
1.427,1.21,1.704,0.4865,0.1382,0.8122,-3.078,-2.128,-0.9499,0.5803,0.3516,0.9263,78.02,70.67,0.2488,0.3232,0.03157,0.3321,0.4926,0.1955,0.3401,1.098,0.2509,2.119,0.002843,17.88,-0.004951,1
2.102,1.22,1.775,0.6124,0.1656,0.8565,-4.039,-2.861,-1.178,0.6132,0.4501,0.8943,78.27,69.61,0.4914,0.2754,0.003553,0.6459,0.5191,0.2021,0.4557,1.659,0.2509,2.119,0.002843,17.88,-0.004951,1
1.629,1.09,1.972,0.4714,0.1293,0.7855,-3.602,-2.735,-0.8672,0.6161,0.3536,0.9723,52.7,51.12,0.3061,0.0789,0.0457,0.3472,0.5992,0.1691,0.3718,1.04,0.2509,2.119,0.002843,17.88,-0.004951,1
1.545,1.09,2.261,0.5338,0.1254,0.7457,-5.711,-5.195,-0.5162,0.7273,0.4461,0.9309,53.59,51.18,0.3882,0.5245,0.094,0.3434,0.7523,0.1621,0.4193,0.7176,0.2509,2.119,0.002843,17.88,-0.004951,1
2.446,1.08,1.715,0.5686,0.1544,0.8404,-4.005,-2.755,-1.25,0.6063,0.4137,0.9263,51.08,44.64,0.4384,0.3376,0.03567,0.817,0.4214,0.171,0.4698,1.43,0.2509,2.119,0.002843,17.88,-0.004951,1
1.266,1.09,1.745,0.4619,0.1277,0.7831,-3.512,-2.583,-0.9286,0.6064,0.3422,0.954,54.01,52.22,0.212,0.1668,0.04871,0.2673,0.5128,0.168,0.3161,1.101,0.2509,2.119,0.002843,17.88,-0.004951,1
1.842,1.09,1.649,0.4514,0.1216,0.7675,-4.103,-2.925,-1.178,0.6162,0.3327,0.9368,50.69,48.05,0.1806,0.3404,0.04036,0.5178,0.3763,0.1657,0.3533,1.203,0.2509,2.119,0.002843,17.88,-0.004951,1
1.967,1.09,1.739,0.4778,0.1304,0.7924,-3.95,-2.617,-1.333,0.5976,0.3432,0.9228,51.54,44.76,0.05778,0.3302,0.04106,0.5889,0.3938,0.1686,0.3838,1.515,0.2509,2.119,0.002843,17.88,-0.004951,1
2.039,1.21,1.713,0.5051,0.1419,0.8204,-3.31,-2.247,-1.063,0.5845,0.3637,0.9127,50.56,43.17,0.07509,0.3131,0.02985,0.6285,0.3947,0.195,0.4061,1.503,0.2509,2.119,0.002843,17.88,-0.004951,1
2.409,1.08,1.692,0.5907,0.1585,0.8442,-4.237,-2.97,-1.267,0.6158,0.4332,0.9214,52.21,49.37,0.4123,0.3234,0.03856,0.829,0.4095,0.1717,0.4701,1.413,0.2509,2.119,0.002843,17.88,-0.004951,1
2.396,1.22,1.711,0.5807,0.1612,0.8581,-3.604,-2.343,-1.261,0.5854,0.4138,0.9195,52.22,48.55,0.4587,0.3578,0.02125,0.7853,0.4406,0.2011,0.4757,1.421,0.2509,2.119,0.002843,17.88,-0.004951,1
1.956,1.23,1.925,0.5817,0.1619,0.858,-3.496,-2.386,-1.11,0.5911,0.4203,0.9117,51.09,48.6,0.4774,0.165,0.01603,0.5456,0.5842,0.2056,0.4451,1.659,0.2509,2.119,0.002843,17.88,-0.004951,1
2.229,1.23,1.834,0.6018,0.1652,0.8607,-3.783,-2.58,-1.203,0.5989,0.4358,0.9046,51.07,48.46,0.06536,0.3678,0.0001396,0.7348,0.4822,0.205,0.474,1.744,0.2509,2.119,0.002843,17.88,-0.004951,1
2.371,1.23,1.688,0.6078,0.1671,0.862,-3.683,-2.63,-1.054,0.6053,0.4465,0.8935,51.64,48.1,0.4632,0.3003,0.002364,0.8021,0.4299,0.2079,0.48,1.353,0.2509,2.119,0.002843,17.88,-0.004951,1
1.756,1.22,1.668,0.5093,0.1435,0.8225,-3.166,-2.285,-0.8811,0.5912,0.3733,0.9174,51.06,47.34,0.1864,0.3023,0.01853,0.4912,0.4309,0.1999,0.374,1.19,0.2509,2.119,0.002843,17.88,-0.004951,1
