 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Planarity, Linearity, Surface Variation, Sphericity, Verticality, Max Intensity, Mean Intensity, STD Intensity, ExpectedValuex, ExpectedValuey, ExpectedValuez, Variancex, Variancey, Variancez, MeanVar, Distance, N.Points, MeanVel, MaxVel, MeanAcc, MaxAcc, MeanAVel, Class
2.43,1.09,1.906,0.5698,0.1525,0.8358,-4.36,-2.929,-1.431,0.6097,0.4122,0.9188,209,47.76,39.77,0.4126,0.4486,0.05224,0.8143,0.4798,0.1695,0.4879,1.615,99,0.2509,2.119,0.002843,17.88,-0.004951,0
1.932,1.08,1.573,0.4715,0.1286,0.7844,-3.759,-2.785,-0.9743,0.6154,0.3511,0.9327,255,53.86,51.35,0.08427,0.345,0.04697,0.5827,0.3389,0.1645,0.362,1.139,108,0.2509,2.119,0.002843,17.88,-0.004951,0
1.542,1.09,2.504,0.5854,0.1563,0.8396,-4.344,-3.051,-1.292,0.6188,0.43,0.9168,219,51.1,46.8,0.193,0.183,0.0616,0.3551,0.8789,0.1709,0.4683,1.729,105,0.2509,2.119,0.002843,17.88,-0.004951,0
1.755,1.09,1.682,0.4874,0.133,0.7965,-3.857,-2.718,-1.139,0.6074,0.357,0.9132,248,50.69,48.73,0.3848,0.2059,0.03728,0.4617,0.448,0.1692,0.3596,1.64,99,0.2509,2.119,0.002843,17.88,-0.004951,0
1.737,1.09,1.623,0.4782,0.132,0.7914,-3.381,-2.665,-0.7163,0.6173,0.3626,0.8951,237,52.57,50.34,0.2013,0.3395,0.04971,0.4678,0.4079,0.1722,0.3493,1.169,103,0.2509,2.119,0.002843,17.88,-0.004951,0
1.858,1.08,1.195,0.4681,0.1299,0.7881,-3.393,-2.557,-0.8366,0.6076,0.3492,0.9297,255,51.78,48.91,0.1392,0.1963,0.04051,0.5614,0.2428,0.1679,0.324,0.8859,101,0.2509,2.119,0.002843,17.88,-0.004951,0
1.635,1.08,1.413,0.4622,0.1294,0.788,-3.245,-2.411,-0.8349,0.5996,0.3424,0.9317,255,54.31,52.38,0.3006,0.2529,0.04306,0.4509,0.3296,0.1681,0.3162,0.6877,102,0.2509,2.119,0.002843,17.88,-0.004951,0
1.502,1.09,1.809,0.4794,0.1312,0.7941,-3.883,-2.591,-1.292,0.5973,0.345,0.9639,246,51.46,48.21,0.2404,0.4526,0.04268,0.3718,0.4986,0.1686,0.3463,1.45,99,0.2509,2.119,0.002843,17.88,-0.004951,0
2.53,1.23,1.742,0.5999,0.1622,0.8522,-4.077,-2.831,-1.246,0.61,0.438,0.8957,248,50.03,46.3,0.3053,0.2333,0.009812,0.8955,0.415,0.2017,0.5041,1.463,98,0.2509,2.119,0.002843,17.88,-0.004951,0
1.373,1.09,1.984,0.4678,0.1291,0.7844,-3.397,-2.668,-0.7294,0.617,0.3543,0.8896,219,52.27,48.68,0.2497,0.08348,0.0518,0.2668,0.6135,0.1716,0.3506,1.305,99,0.2509,2.119,0.002843,17.88,-0.004951,0
1.394,1.09,2.47,0.542,0.128,0.7511,-5.538,-5.062,-0.4769,0.7253,0.4532,0.9322,255,55.01,52.62,0.2839,0.4061,0.0884,0.2546,0.8933,0.1634,0.4371,0.9262,106,0.2509,2.119,0.002843,17.88,-0.004951,0
1.608,1.08,1.839,0.4603,0.1266,0.7797,-3.598,-2.671,-0.9268,0.6111,0.3425,0.9366,242,52.87,51.88,0.3535,0.1349,0.0499,0.3623,0.5279,0.1646,0.3516,0.9047,100,0.2509,2.119,0.002843,17.88,-0.004951,0
1.271,1.1,1.676,0.4549,0.1232,0.7708,-3.961,-2.884,-1.077,0.6172,0.3374,0.9179,255,53.65,52.62,0.256,0.1966,0.03616,0.274,0.4796,0.1707,0.3081,1.098,100,0.2509,2.119,0.002843,17.88,-0.004951,0
1.581,1.22,1.651,0.4788,0.1363,0.8049,-2.848,-2.224,-0.6242,0.5946,0.3586,0.9332,248,50.44,48.25,0.3309,0.1959,0.005921,0.4021,0.4359,0.2002,0.3461,1.517,98,0.2509,2.119,0.002843,17.88,-0.004951,0
2.471,1.22,1.689,0.6079,0.1652,0.8576,-3.97,-2.764,-1.206,0.6079,0.4439,0.9141,219,49.87,41.79,0.319,0.2692,0.01236,0.8741,0.4026,0.2019,0.4929,1.442,99,0.2509,2.119,0.002843,17.88,-0.004951,0
1.42,1.09,1.898,0.5058,0.1371,0.8051,-4.001,-2.822,-1.179,0.6114,0.3711,0.9221,218,53.59,49.72,0.2848,0.3493,0.0401,0.3359,0.5678,0.1695,0.3577,1.366,103,0.2509,2.119,0.002843,17.88,-0.004951,0
2.249,1.09,1.74,0.5503,0.1471,0.8235,-4.289,-3.04,-1.249,0.6195,0.4054,0.8966,255,51.03,48.21,0.0337,0.3348,0.0651,0.7302,0.4244,0.1682,0.4409,1.276,106,0.2509,2.119,0.002843,17.88,-0.004951,0
1.593,1.09,1.774,0.4838,0.1323,0.7969,-3.902,-2.592,-1.31,0.5969,0.3477,0.9392,220,51.64,47.39,0.2357,0.4239,0.02362,0.4049,0.4809,0.1705,0.3521,1.131,102,0.2509,2.119,0.002843,17.88,-0.004951,0
