 Length, Height, Width, Eigenentropy, Anisotropy, Surface Variation, Verticality, Class
2.531,1.09,1.621,0.8457,-4.281,0.629,0.9038,1
2.502,1.22,1.697,0.859,-3.852,0.6027,0.9149,1
2.383,1.1,1.675,0.8461,-4.322,0.6198,0.8999,1
2.471,1.23,1.731,0.8639,-3.267,0.5854,0.9085,1
1.846,1.09,1.649,0.7841,-3.515,0.6096,0.9603,1
2.336,1.1,1.565,0.8317,-3.641,0.6121,0.8956,1
2.494,1.24,1.71,0.8615,-3.719,0.6071,0.8899,1
1.408,1.21,1.914,0.8206,-3.045,0.5886,0.9205,1
1.526,1.31,1.78,0.8221,-3.328,0.5862,0.8844,1
1.58,1.09,1.617,0.7905,-3.471,0.6106,0.9513,1
2.27,1.24,1.62,0.8661,-3.518,0.5962,0.9018,1
2.494,1.09,1.848,0.8364,-4.533,0.6123,0.9135,1
1.809,1.09,1.608,0.7847,-3.517,0.6132,0.9118,1
1.915,1.08,1.653,0.7771,-3.825,0.6094,0.95,1
2.489,1.11,1.629,0.8471,-4.267,0.6174,0.8989,1
2.542,1.09,1.537,0.8328,-4.07,0.6194,0.8739,1
1.886,1.22,1.837,0.8144,-3.321,0.5827,0.951,1
1.803,1.12,1.6,0.7955,-3.161,0.6039,0.898,1
2.316,1.1,1.662,0.848,-4.026,0.6115,0.8962,1
2.015,1.21,1.732,0.8239,-3.075,0.5851,0.9082,1
1.716,1.22,1.729,0.8142,-3.1,0.5849,0.9281,1
2.391,1.22,1.684,0.8641,-3.562,0.5984,0.9007,1
1.67,1.31,1.985,0.823,-3.263,0.5838,0.8915,1
1.682,1.18,1.815,0.8054,-3.872,0.6013,0.8747,1
1.62,1.21,1.95,0.8216,-2.98,0.5821,0.9364,1
1.631,1.22,1.526,0.8239,-2.805,0.585,0.9008,1
1.515,1.22,1.67,0.8194,-3.008,0.5941,0.9123,1
1.707,1.09,2.359,0.7533,-5.288,0.7168,0.9434,1
2.446,1.22,1.677,0.859,-3.974,0.6063,0.9212,1
1.486,1.21,1.849,0.8148,-3.121,0.586,0.9344,1
1.881,1.09,1.596,0.7845,-3.41,0.613,0.9173,1
1.374,1.12,1.691,0.6907,-3.907,0.6901,0.9705,1
0.8681,1.1,1.813,0.6587,-4.997,0.7042,0.9806,1
1.042,1.09,1.7,0.6365,-5.484,0.7047,0.9766,1
1.222,1.08,1.245,0.6258,-6.502,0.7029,0.9632,1
2.123,1.08,0.9204,0.6636,-8.936,0.7641,0.9088,1
2.116,1.07,0.6053,0.6188,-17.14,0.7938,0.9183,1
