 Length, Height, Width, Omnivariance, Class
1.985,1.1,1.784,0.147,1
1.816,1.1,1.598,0.1318,1
2.473,1.22,1.658,0.1626,1
2.412,1.09,1.685,0.157,1
2.527,1.09,1.552,0.1526,1
1.725,1.1,1.592,0.1314,1
1.674,1.09,1.828,0.1316,1
1.937,1.21,1.597,0.1415,1
1.502,1.21,1.855,0.1397,1
2.469,1.24,1.679,0.1668,1
2.318,1.21,1.704,0.1616,1
1.614,1.11,2.53,0.1598,1
1.91,1.09,1.598,0.1207,1
2.112,1.24,1.907,0.1692,1
1.863,1.08,1.322,0.1343,1
1.858,1.08,1.604,0.1305,1
1.647,1.09,1.811,0.1337,1
1.736,1.22,1.772,0.1395,1
2.425,1.22,1.718,0.1633,1
2.026,1.22,1.653,0.1435,1
1.842,1.08,1.576,0.1294,1
2.467,1.22,1.664,0.1644,1
1.709,1.23,1.972,0.1391,1
1.695,1.22,2.505,0.1611,1
1.375,1.09,1.884,0.134,1
1.81,1.22,2.281,0.1629,1
2.505,1.22,1.715,0.165,1
1.682,1.22,2.528,0.1639,1
1.884,1.1,1.581,0.1295,1
1.707,1.1,1.607,0.1327,1
1.297,1.08,2.009,0.131,1
2.522,1.22,1.743,0.1614,1
2.196,1.09,1.571,0.1486,1
1.974,1.09,1.463,0.1294,1
1.859,1.09,1.947,0.1429,1
1.493,1.08,1.955,0.1314,1
2.533,1.22,1.645,0.1651,1
2.325,1.09,1.886,0.155,1
1.687,1.09,1.613,0.1306,1
1.503,1.22,1.634,0.1401,1
1.728,1.08,1.26,0.1256,1
2.258,1.1,1.638,0.1571,1
2.548,1.23,1.759,0.1612,1
1.69,1.23,2.11,0.165,1
1.791,1.08,1.737,0.1318,1
1.765,1.09,1.242,0.09934,1
0.9236,0.91,1.791,0.08256,1
2.065,0.92,1.349,0.09298,1
0.8919,0.9,1.136,0.04138,1
2.056,1.1,1.128,0.09555,1
1.572,1.09,1.977,0.133,1
1.593,1.09,2.007,0.1346,1
1.592,1.09,1.787,0.1341,1
1.834,1.08,1.609,0.1291,1
1.938,1.09,1.565,0.1329,1
1.58,1.08,1.665,0.1265,1
2.488,1.23,1.706,0.166,1
1.754,1.21,1.375,0.1422,1
1.74,1.1,2.442,0.1597,1
1.67,1.08,2.391,0.1245,1
1.793,1.23,2.075,0.1647,1
1.364,1.09,1.877,0.1309,1
2.407,1.12,1.62,0.1511,1
1.628,1.22,1.503,0.1432,1
1.544,1.09,1.754,0.1321,1
2.133,1.09,1.942,0.1539,1
1.825,1.09,1.255,0.1323,1
1.688,1.22,2.286,0.1628,1
2.427,1.09,1.883,0.1557,1
1.871,1.1,1.572,0.13,1
2.515,1.08,1.563,0.1529,1
2.509,1.23,1.731,0.1632,1
1.656,1.23,2.267,0.1626,1
1.645,1.1,2.15,0.1576,1
1.841,1.12,1.621,0.1341,1
1.827,1.09,1.864,0.1328,1
1.809,1.09,1.644,0.1304,1
1.817,1.09,1.631,0.129,1
1.24,1.1,1.932,0.1303,1
1.924,1.1,2.041,0.1262,1
1.192,1.08,1.89,0.1287,1
1.687,1.22,2.143,0.1652,1
1.709,1.09,2.336,0.127,1
1.655,1.21,1.777,0.139,1
1.24,1.1,1.774,0.1252,1
1.574,0.96,1.544,0.1247,1
1.599,1.09,1.43,0.1013,1
2.467,1.1,1.706,0.1622,1
1.74,1.22,1.637,0.1399,1
2.462,1.1,1.621,0.1488,1
1.896,1.09,1.722,0.1335,1
2.425,1.09,1.674,0.1584,1
1.242,1.08,1.92,0.131,1
1.83,1.08,1.597,0.131,1
1.861,1.09,2.159,0.1258,1
2.537,1.09,1.659,0.1568,1
1.375,1.09,1.912,0.1321,1
2.445,1.09,1.55,0.1492,1
1.996,1.08,1.548,0.1294,1
2.477,1.21,1.65,0.1652,1
1.982,1.09,1.555,0.1222,1
1.855,1.22,1.689,0.1391,1
1.788,1.22,1.322,0.1411,1
2.295,1.09,1.595,0.1531,1
2.175,1.09,1.9,0.157,1
2.519,1.23,1.736,0.1678,1
1.439,1.21,1.77,0.1401,1
1.846,1.1,1.701,0.1339,1
2.139,1.08,1.623,0.1531,1
2.511,1.22,1.715,0.1636,1
2.394,1.23,1.762,0.1615,1
1.606,1.09,2.431,0.1589,1
2.239,1.08,1.809,0.151,1
1.808,1.09,1.887,0.1345,1
1.306,1.09,2.519,0.1262,1
1.723,1.09,1.987,0.1314,1
1.276,1.08,1.993,0.1324,1
1.761,1.24,1.337,0.1447,1
1.721,1.21,2.032,0.1411,1
1.844,1.12,2.022,0.1492,1
1.462,1.22,1.757,0.1397,1
1.951,1.09,1.857,0.1506,1
1.563,1.09,1.928,0.1321,1
1.632,1.24,2.217,0.1681,1
1.374,1.08,1.957,0.1312,1
1.592,1.09,2.201,0.1494,1
2.492,1.22,1.732,0.1639,1
1.553,1.08,1.843,0.1324,1
1.861,1.09,1.608,0.1294,1
2.362,1.09,1.601,0.1525,1
1.303,1.1,1.657,0.1298,1
1.599,1.22,1.684,0.1424,1
1.72,1.22,1.353,0.1392,1
2.455,1.23,1.658,0.1675,1
2.513,1.23,1.695,0.1623,1
1.811,1.12,1.634,0.1316,1
1.986,1.09,1.928,0.1552,1
1.736,1.1,2.016,0.1357,1
1.84,1.08,1.599,0.1306,1
2.431,1.22,1.705,0.1601,1
1.667,1.09,1.39,0.1283,1
1.694,1.22,2.482,0.1618,1
2.386,1.09,1.598,0.1486,1
1.829,1.1,1.6,0.1286,1
2.542,1.09,1.659,0.1607,1
1.62,1.1,1.767,0.1316,1
1.624,1.09,2.203,0.1275,1
4.312,1.22,1.809,0.2789,1
1.903,1.31,2.013,0.1708,1
2.47,1.09,1.874,0.155,1
2.502,1.22,1.738,0.1665,1
1.577,1.1,1.777,0.1356,1
2.474,1.23,1.669,0.1646,1
2.42,1.24,1.705,0.1651,1
1.531,1.31,1.803,0.1433,1
1.351,1.09,2.491,0.1248,1
1.787,1.21,1.329,0.138,1
1.68,1.22,2.105,0.167,1
1.787,1.09,1.979,0.1337,1
1.777,1.08,1.588,0.1314,1
2.46,1.22,1.726,0.1643,1
1.718,1.21,1.587,0.1402,1
1.783,1.09,1.598,0.1309,1
2.259,1.09,1.801,0.1498,1
2.467,1.22,1.71,0.1608,1
1.915,1.09,1.147,0.09975,1
1.829,1.09,1.588,0.1301,1
1.741,1.22,1.728,0.1395,1
2.512,1.24,1.769,0.1659,1
1.907,1.08,1.266,0.1306,1
2.239,1.09,1.756,0.1458,1
1.792,1.31,1.658,0.1442,1
1.692,1.23,2.165,0.1609,1
2.269,1.24,1.665,0.1638,1
2.013,1.08,1.508,0.1307,1
1.843,1.1,1.854,0.1324,1
1.531,1.08,1.958,0.1281,1
2.441,1.22,1.717,0.1608,1
1.774,1.09,1.614,0.1211,1
2.42,1.17,1.624,0.1654,1
2.483,1.23,1.681,0.1668,1
1.924,1.09,1.638,0.1265,1
1.854,1.08,1.583,0.129,1
2.475,1.09,1.61,0.1583,1
2.448,1.09,1.588,0.1555,1
1.649,1.09,1.608,0.1329,1
1.398,1.31,1.837,0.1438,1
2.383,1.23,1.695,0.1654,1
1.666,1.09,1.428,0.129,1
2.479,1.3,1.752,0.1695,1
2.506,1.22,1.725,0.1622,1
1.774,1.09,1.736,0.1324,1
1.652,1.22,2.327,0.1605,1
1.561,1.09,1.607,0.132,1
1.727,1.08,2.094,0.1519,1
2.128,1.09,1.64,0.1471,1
2.515,1.22,1.612,0.1656,1
2.509,1.22,1.657,0.1664,1
2.068,1.24,1.85,0.165,1
1.523,1.09,2.469,0.1577,1
1.713,1.08,2.301,0.1541,1
1.579,1.09,2.462,0.1571,1
2.265,1.12,1.613,0.1565,1
1.737,1.09,1.567,0.1308,1
1.697,1.07,1.602,0.1301,1
1.768,1.08,1.586,0.1283,1
1.935,1.09,1.376,0.1275,1
2.513,1.1,1.764,0.1509,1
2.503,1.23,1.703,0.1611,1
2.416,1.22,1.754,0.1666,1
2.335,1.22,1.632,0.1665,1
1.668,1.1,1.778,0.1323,1
1.713,1.12,1.599,0.1314,1
1.711,1.24,1.397,0.1445,1
2.418,1.23,1.705,0.1615,1
2.253,1.22,1.666,0.1664,1
2.504,1.23,1.804,0.1687,1
1.692,1.22,2.232,0.1614,1
1.9,1.09,1.756,0.1327,1
1.8,1.09,2.175,0.1558,1
1.726,1.22,1.985,0.1399,1
1.791,1.09,1.599,0.1298,1
1.71,1.09,2.328,0.1264,1
2.533,1.22,1.751,0.1676,1
1.356,1.09,1.882,0.1307,1
1.859,1.08,1.585,0.1291,1
1.462,1.09,1.62,0.09936,1
2.494,1.22,1.69,0.1663,1
1.616,1.09,1.898,0.1311,1
1.675,1.11,2.173,0.1609,1
1.935,1.09,1.681,0.1321,1
1.822,1.08,1.604,0.1302,1
2.385,1.22,1.711,0.165,1
1.507,1.09,1.582,0.1268,1
1.55,1.23,1.736,0.1417,1
1.835,1.31,1.399,0.1456,1
2.332,1.22,1.614,0.1653,1
1.456,1.22,1.796,0.1426,1
1.892,1.09,1.642,0.1279,0
1.889,1.08,1.597,0.1288,0
1.635,1.22,2.21,0.1647,0
1.774,1.09,1.611,0.1308,0
1.892,1.21,1.811,0.1402,0
2.205,1.21,1.628,0.1654,0
2.474,1.09,1.952,0.1556,0
1.57,1.1,1.909,0.1292,0
1.645,1.22,2.159,0.1653,0
1.988,1.08,1.634,0.1323,0
1.392,1.08,1.929,0.1251,0
1.808,1.1,1.587,0.1296,0
2.378,1.22,1.707,0.1707,0
1.916,1.09,2.052,0.1542,0
2.476,1.1,1.405,0.1241,0
1.208,1.08,1.885,0.1309,0
1.914,1.11,1.572,0.1292,0
2.423,1.22,1.655,0.17,0
1.804,1.22,1.736,0.1431,0
1.798,1.21,1.746,0.1387,0
1.762,1.22,2.324,0.1649,0
1.607,1.09,1.548,0.1314,0
2.402,1.09,1.459,0.1224,0
1.841,1.1,2.293,0.1604,0
1.584,1.12,1.964,0.1316,0
1.713,1.22,2.357,0.1657,0
1.576,1.09,1.462,0.1288,0
2.536,1.1,1.64,0.1604,0
