Length, Height, Width, Sum, Omnivariance, Eigenentropy, Anisotropy, Class
1.705,1.27,2.074,0.576,0.1626,0.8636,-3.279,1
1.682,1.27,2.057,0.5762,0.1635,0.8676,-3.209,1
1.735,1.15,2.115,0.5763,0.1718,0.8914,-2.28,1
1.752,1.11,1.862,0.5529,0.1657,0.8818,-2.185,1
1.78,1.27,2.084,0.5975,0.1737,0.8879,-2.683,1
1.483,1.29,1.957,0.5927,0.1721,0.8828,-2.636,1
1.582,1.28,2.048,0.5662,0.1637,0.8702,-2.823,1
2.049,1.28,1.624,0.5944,0.1674,0.8678,-3.176,1
1.962,1.28,1.711,0.5684,0.1685,0.8843,-2.37,1
1.623,1.27,1.588,0.6109,0.1761,0.8881,-2.773,1
1.478,1.27,1.924,0.607,0.168,0.8651,-3.536,1
1.643,1.28,1.608,0.5977,0.1769,0.8941,-2.208,1
1.897,1.3,1.746,0.5679,0.1699,0.8884,-2.206,1
1.97,1.14,1.516,0.5778,0.1712,0.8874,-2.333,1
1.589,1.15,1.835,0.5759,0.1697,0.8831,-2.428,1
1.889,1.3,1.725,0.5762,0.1711,0.8898,-2.354,1
1.628,1.29,1.864,0.615,0.1791,0.8948,-2.57,1
1.625,1.27,1.59,0.6126,0.1756,0.8861,-2.887,1
1.688,1.28,1.581,0.5822,0.1718,0.8877,-2.418,1
1.418,1.3,1.667,0.5655,0.1689,0.8866,-2.241,1
1.516,1.28,1.555,0.5621,0.1688,0.8866,-2.129,1
1.497,1.28,1.816,0.57,0.1706,0.8891,-2.187,1
2.013,1.29,1.548,0.6029,0.1778,0.8974,-2.415,1
2.105,1.28,1.669,0.5928,0.1723,0.8857,-2.704,1
1.722,1.28,1.581,0.5841,0.1661,0.8705,-3.111,1
1.563,1.28,1.707,0.5916,0.1725,0.8858,-2.607,1
1.692,1.28,1.999,0.5621,0.1612,0.8642,-2.983,1
1.581,1.28,1.92,0.5585,0.1671,0.8829,-2.205,1
1.565,1.14,2.032,0.5781,0.1687,0.8787,-2.578,1
2.136,1.15,1.62,0.5795,0.1701,0.8813,-2.421,1
1.783,1.28,1.476,0.5685,0.1685,0.8838,-2.363,1
1.561,1.28,2.018,0.604,0.1766,0.8935,-2.565,1
1.699,1.15,2.052,0.5772,0.1721,0.8924,-2.27,1
1.73,1.28,1.915,0.5739,0.1697,0.8852,-2.407,1
2.065,1.28,1.689,0.5954,0.1714,0.8811,-2.848,1
1.682,1.28,1.914,0.5711,0.169,0.8844,-2.4,1
1.688,1.28,1.965,0.5698,0.167,0.8796,-2.583,1
1.647,1.29,1.464,0.5823,0.1706,0.8857,-2.576,1
1.541,1.28,1.701,0.6168,0.1783,0.8914,-2.699,1
1.656,1.28,1.607,0.5824,0.1629,0.8619,-3.442,1
1.934,1.28,1.725,0.5666,0.1692,0.8863,-2.231,1
1.684,1.28,1.936,0.5932,0.174,0.889,-2.47,1
1.94,1.28,1.649,0.5989,0.1745,0.8893,-2.643,1
2.029,1.29,1.749,0.6103,0.1792,0.8968,-2.416,1
1.873,1.28,1.445,0.5603,0.1649,0.8728,-2.386,1
1.917,1.28,1.376,0.5609,0.1594,0.8563,-3.044,1
2.044,1.28,1.572,0.5651,0.1622,0.8657,-2.933,1
1.955,1.28,1.645,0.5666,0.1698,0.8884,-2.169,1
1.435,1.28,1.816,0.6109,0.1687,0.8657,-3.594,1
1.988,1.28,1.561,0.593,0.1661,0.8653,-3.332,1
1.984,1.28,1.566,0.579,0.1658,0.8692,-2.883,1
1.546,1.14,1.957,0.567,0.1677,0.8816,-2.402,1
1.545,1.28,1.974,0.5951,0.1651,0.8622,-3.545,1
1.547,1.28,1.697,0.5823,0.1658,0.8712,-3.108,1
1.893,1.29,1.642,0.5813,0.1703,0.8845,-2.57,1
2.05,1.29,1.701,0.5887,0.1672,0.8698,-3.036,1
1.702,1.29,2.019,0.5767,0.1633,0.8641,-3.166,1
1.492,1.28,1.559,0.5722,0.1679,0.8812,-2.56,1
1.553,1.28,1.909,0.5763,0.1693,0.8843,-2.552,1
1.57,1.29,1.662,0.5933,0.1705,0.8784,-2.841,1
1.732,1.3,2.006,0.5965,0.1754,0.8919,-2.436,1
1.628,1.3,2.11,0.592,0.1723,0.883,-2.566,1
1.593,1.27,2.015,0.6032,0.1671,0.8655,-3.583,1
1.714,1.3,2.045,0.5919,0.169,0.8741,-2.941,1
1.62,1.3,2.063,0.5784,0.1645,0.8689,-3.147,1
1.564,1.28,1.929,0.5613,0.168,0.8847,-2.193,1
1.474,1.12,1.873,0.5537,0.1657,0.8814,-2.209,1
1.707,1.28,2.099,0.6153,0.1784,0.8927,-2.663,1
1.658,1.27,1.876,0.5638,0.1597,0.8603,-3.248,1
1.744,1.28,1.892,0.5751,0.1704,0.887,-2.366,1
1.549,1.15,1.862,0.5902,0.1739,0.8927,-2.487,1
1.758,1.28,1.58,0.575,0.1667,0.8755,-2.74,1
2.014,1.14,1.527,0.5816,0.172,0.8879,-2.362,1
1.676,1.28,2.063,0.5728,0.1639,0.871,-3.057,1
1.666,1.14,1.664,0.5775,0.169,0.8816,-2.575,1
2.038,1.14,1.599,0.578,0.1702,0.8839,-2.439,1
1.425,1.32,1.863,0.63,0.1859,0.9089,-2.352,1
1.71,1.14,1.629,0.5716,0.1695,0.8847,-2.333,1
1.916,1.27,1.661,0.5611,0.1619,0.8668,-2.858,1
1.975,1.27,1.727,0.614,0.1795,0.8963,-2.483,1
1.759,1.28,1.483,0.6138,0.1772,0.8894,-2.716,1
1.733,1.3,2.108,0.6117,0.1774,0.8924,-2.701,1
1.696,1.15,2.354,0.613,0.1799,0.9023,-2.56,1
1.598,1.28,1.625,0.5988,0.1676,0.8693,-3.406,1
1.655,1.28,1.812,0.5673,0.1678,0.8828,-2.425,1
1.602,1.28,1.824,0.5971,0.175,0.8914,-2.521,1
1.628,1.28,2.086,0.5864,0.172,0.8855,-2.462,1
1.844,1.28,1.423,0.5646,0.1645,0.8735,-2.686,1
1.625,1.14,2.069,0.565,0.1668,0.8804,-2.444,1
1.594,1.28,1.82,0.57,0.1645,0.8698,-2.797,1
1.465,1.3,1.831,0.5714,0.1705,0.8885,-2.238,1
1.646,1.14,2.122,0.5812,0.1704,0.8836,-2.53,1
1.632,1.3,2.055,0.5776,0.1636,0.8656,-3.198,1
1.996,1.29,1.53,0.5852,0.1715,0.8846,-2.483,1
1.405,1.28,1.694,0.5682,0.1711,0.8905,-2.057,1
1.316,1.08,1.867,0.393,0.09785,0.6867,-4.032,1
1.618,1.24,2.335,0.5994,0.1659,0.8613,-3.509,1
1.745,0.95,1.583,0.4668,0.1268,0.7798,-3.85,1
2.024,1.22,1.732,0.5047,0.1426,0.8224,-3.207,1
2.379,1.24,1.74,0.6078,0.1666,0.8621,-3.793,1
2.532,1.22,1.728,0.5931,0.1627,0.855,-3.738,1
1.951,1.08,1.331,0.4679,0.1307,0.7913,-3.308,1
1.904,1.08,2.136,0.5893,0.1562,0.8364,-4.429,1
1.682,1.09,1.585,0.4692,0.1305,0.7897,-3.322,1
1.874,1.09,1.694,0.475,0.133,0.7986,-3.329,1
2.23,1.23,1.671,0.604,0.1652,0.8586,-3.811,1
1.581,1.1,1.527,0.4635,0.1286,0.7854,-3.42,1
2.538,1.1,1.28,0.5232,0.1261,0.7524,-5.233,1
1.69,1.23,2.495,0.5866,0.1636,0.8619,-3.478,1
2.511,1.09,1.661,0.5601,0.1504,0.8285,-4.097,1
1.339,1.1,1.801,0.4812,0.1316,0.7953,-3.901,1
1.59,1.17,1.754,0.4966,0.1351,0.8022,-3.965,1
